popularity,id,name,album,duration_ms,album_release_date,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artista_id,artista_generos,artista_followers,artista_name,time_signature
52,0fHHphf4GsCyYdQr6TS1TN,Armao 100pre Andamos - Remix,Armao 100pre Andamos (Remix),335741,2017-09-03,True,0.669,0.728,10,-5.585,0,0.301,0.378,0.0,0.677,0.752,83.754,2R21vXR83lH98kGeO99Y66,"latin,reggaeton flow,trap latino",12876069,Anuel AA,4
41,466XGyJj6LHJcpeR3RhhJX,Picnic en el 4to B / Te Hacen Falta Vitaminas / Mi Novia Tiene Bíceps (SEP7IMO DIA),SEP7IMO DIA,382800,2017-03-10,False,0.354,0.953,9,-4.976,1,0.112,0.00258,0.00158,0.564,0.657,93.683,7An4yvF7hDYDolN4m5zKBp,"argentine rock,latin alternative,latin rock,post-punk argentina,rock en espanol,ska argentino",4710720,Soda Stereo,4
34,3zhef3n3is3228LPaesS60,Mix Otra Vez,LemonChamp,214961,2017-08-19,False,0.713,0.791,11,-5.532,0,0.109,0.269,0.0,0.153,0.932,106.245,3Tralte9fDtBGOq8ULPaXn,cumbia pop,11602,LemonChamp,4
59,1KTMZ2DeqT4oqIJ7Co5F6R,This Old Dog,This Old Dog,150546,2017-05-05,False,0.749,0.401,3,-10.856,1,0.0391,0.219,0.0931,0.206,0.616,138.811,3Sz7ZnJQBIHsXLUSo0OQtM,edmonton indie,1496663,Mac DeMarco,4
58,1nSzCAvAvzJj5oIt7m90G0,24K Magic - R3hab Remix,24K Magic (R3hab Remix),158678,2017-05-26,False,0.763,0.708,5,-5.692,0,0.209,0.146,0.0,0.33,0.566,106.175,0du5cEVh5yTK9QJze8zA0C,pop,25612414,Bruno Mars,4
46,0kAr97QQFJ2bzBSjIwCyPP,Toda para Mi,Arte,250026,2017-05-19,False,0.535,0.568,9,-8.179,0,0.0318,0.684,0.0,0.151,0.328,159.889,2wkoKEfS6dXwThbyTnZWFU,"latin,latin pop,reggaeton",2049768,Mau y Ricky,4
58,5vc9YsAEBWbRVvgKUcA5vs,Party Animal,Party Animal,195813,2017-09-15,False,0.724,0.869,0,-3.922,1,0.046,0.0248,0.0,0.251,0.84,100.999,5sK8BsvyDl4TFA6KaBf8or,"dancehall,soca",208767,Charly Black,4
48,0O9GcyFNK9v9f4KpWciP8V,Safari,Energía Lado B,205600,2017-10-06,False,0.681,0.689,0,-4.295,1,0.319,0.491,1.94e-06,0.119,0.611,180.086,1vyhD5VmyZ7KMfW5gqLgo5,"latin,reggaeton",20559163,J Balvin,4
59,46576CnmgT6xr0RaZNF2Kt,Scream,Scream,277960,2017-09-27,False,0.782,0.965,0,-3.894,1,0.115,0.0981,1.09e-05,0.251,0.546,106.529,3fMbdgg4jU18AjLCKBhRSm,"pop,r&b,soul",14938807,Michael Jackson,4
37,1kMSSiTNKUDC4qI1e2dJ62,Sos Tan Perfecta,Bröder,155597,2017-03-23,False,0.837,0.513,2,-9.369,1,0.0503,0.000918,0.0104,0.178,0.536,114.003,3VcnxGSCx7N2B17v615v0g,"argentine alternative rock,argentine indie",5977,Bröder,4
