geonames_id,lat-lon,lat,lon
3856022.0,"-31.4488,-60.93173",-31.4488,-60.93173
3430865.0,"-37.77072,-57.45118",-37.77072,-57.45118
3429703.0,"-34.58333,-58.5",-34.58333,-58.5
3836188.0,"-31.53333,-68.46667",-31.53333,-68.46667
3427467.0,"-34.54531,-58.55919",-34.54531,-58.55919
3427455.0,"-34.60057,-58.48871",-34.60057,-58.48871
3427958.0,"-37.95269,-57.77161",-37.95269,-57.77161
3427818.0,"-34.70025,-58.51186",-34.70025,-58.51186
3852393.0,"-24.60477,-65.38181",-24.60477,-65.38181
3427431.0,"-37.26394,-56.97304",-37.26394,-56.97304
3430866.0,"-36.72427,-56.67709",-36.72427,-56.67709
3427451.0,"-34.60064,-58.51231",-34.60064,-58.51231
3838231.0,"-24.75806,-65.43457",-24.75806,-65.43457
3430878.0,"-34.40425,-59.00854",-34.40425,-59.00854
3430511.0,"-34.53021,-58.52421",-34.53021,-58.52421
3429228.0,"-36.69733,-56.68293",-36.69733,-56.68293
3431204.0,"-34.32814,-58.98432",-34.32814,-58.98432
3833874.0,"-36,-62.66667",-36.0,-62.66667
3431333.0,"-34.64286,-58.52386",-34.64286,-58.52386
3429651.0,"-34.75,-58.25",-34.75,-58.25
3433974.0,"-34.74849,-58.23078",-34.74849,-58.23078
3435024.0,"-34.70189,-58.29268",-34.70189,-58.29268
3854454.0,"-27.30838,-65.29338",-27.30838,-65.29338
3840905.0,"-30.89967,-62.76665",-30.89967,-62.76665
3838793.0,"-32.17301,-64.11405",-32.17301,-64.11405
3429244.0,"-34.66692,-58.70097",-34.66692,-58.70097
3832711.0,"-40.76173,-71.64631",-40.76173,-71.64631
3427411.0,"-34.5835,-58.56727",-34.5835,-58.56727
3430679.0,"-34.84104,-58.36619",-34.84104,-58.36619
3843123.0,"-38.95161,-68.0591",-38.95161,-68.0591
3843919.0,"-32.35692,-60.94193",-32.35692,-60.94193
3860360.0,"-38.83333,-68.83333",-38.83333,-68.83333
3436003.0,"-34.63333,-58.41667",-34.63333,-58.41667
3833857.0,"-38.5,-60.25",-38.5,-60.25
3430982.0,"-34.58333,-59.16667",-34.58333,-59.16667
3431350.0,"-34.04468,-59.19659",-34.04468,-59.19659
3429582.0,"-34.72492,-58.38255",-34.72492,-58.38255
3435719.0,"-34.87835,-58.51054",-34.87835,-58.51054
3853938.0,"-32.8609,-60.77245",-32.8609,-60.77245
3435055.0,"-34.35886,-58.68742",-34.35886,-58.68742
3838638.0,"-32.89846,-60.90681",-32.89846,-60.90681
3865991.0,"-33.13032,-60.80393",-33.13032,-60.80393
3835793.0,"-31.66274,-60.7653",-31.66274,-60.7653
3838750.0,"-31.5645,-68.65219",-31.5645,-68.65219
3430105.0,"-27.31676,-58.57197",-27.31676,-58.57197
3427377.0,"-34.41657,-58.87116",-34.41657,-58.87116
3431266.0,"-35.27369,-58.40378",-35.27369,-58.40378
3837989.0,"-31.47949,-64.53042",-31.47949,-64.53042
3436134.0,"-34.64966,-58.38341",-34.64966,-58.38341
3431270.0,"-34.75,-58.41667",-34.75,-58.41667
3838560.0,"-24.58333,-65.83333",-24.58333,-65.83333
3863502.0,"-26.08333,-65.83333",-26.08333,-65.83333
3832778.0,"-33.22778,-60.3297",-33.22778,-60.3297
3430146.0,"-31.66667,-60",-31.66667,-60.0
3435264.0,"-32.48463,-58.23217",-32.48463,-58.23217
3430348.0,"-34.54955,-58.46684",-34.54955,-58.46684
3838854.0,"-53.78769,-67.70946",-53.78769,-67.70946
3435689.0,"-34.16667,-59.83333",-34.16667,-59.83333
3838830.0,"-40,-67",-40.0,-67.0
3430668.0,"-38.27161,-57.8389",-38.27161,-57.8389
3844421.0,"-32.89084,-68.82717",-32.89084,-68.82717
3855244.0,"-32.02927,-61.22103",-32.02927,-61.22103
3839149.0,"-32.77199,-65.36395",-32.77199,-65.36395
3430787.0,"-34.66667,-58.5",-34.66667,-58.5
3430861.0,"-36.57531,-56.68883",-36.57531,-56.68883
3838235.0,"-31.13725,-64.29589",-31.13725,-64.29589
3436061.0,"-34.5651,-58.69034",-34.5651,-58.69034
3429760.0,"-34.60944,-58.36186",-34.60944,-58.36186
3433821.0,"-38.16667,-58.08333",-38.16667,-58.08333
3428075.0,"-34.60379,-58.5461",-34.60379,-58.5461
3427386.0,"-33.71381,-58.65844",-33.71381,-58.65844
3430782.0,"-34.38234,-58.82716",-34.38234,-58.82716
3436022.0,"-34.57301,-58.59175",-34.57301,-58.59175
3434003.0,"-34.81917,-58.46583",-34.81917,-58.46583
3436033.0,"-34.70728,-58.2718",-34.70728,-58.2718
3835883.0,"-37.48778,-61.92263",-37.48778,-61.92263
3430114.0,"-34.6382,-58.40139",-34.6382,-58.40139
3433357.0,"-27.90085,-56.86604",-27.90085,-56.86604
3435710.0,"-35.08333,-58.75",-35.08333,-58.75
3844377.0,"-32.34288,-65.01396",-32.34288,-65.01396
3431309.0,"-35.25,-59.16667",-35.25,-59.16667
6693228.0,"-34.61032,-58.39766",-34.61032,-58.39766
3837090.0,"-33,-61",-33.0,-61.0
3430596.0,"-34.61667,-58.5",-34.61667,-58.5
3862084.0,"-25,-65.41667",-25.0,-65.41667
3430992.0,"-34.80412,-58.44785",-34.80412,-58.44785
3433657.0,"-33.25,-59",-33.25,-59.0
3844419.0,"-34.5,-68.5",-34.5,-68.5
3855061.0,"-38.5,-67.5",-38.5,-67.5
3836128.0,"-31.66667,-64.33333",-31.66667,-64.33333
3430513.0,"-34.55622,-58.70739",-34.55622,-58.70739
3832631.0,"-32.1879,-64.48027",-32.1879,-64.48027
3836564.0,"-24.19457,-65.29712",-24.19457,-65.29712
3434140.0,"-34.85833,-57.91889",-34.85833,-57.91889
3436149.0,"-33.83333,-59.5",-33.83333,-59.5
3852374.0,"-31.34377,-64.33529",-31.34377,-64.33529
3427463.0,"-34.58572,-58.57705",-34.58572,-58.57705
3866926.0,"-37.25,-63",-37.25,-63.0
3436197.0,"-36.75,-59.66667",-36.75,-59.66667
3837056.0,"-33.29501,-66.33563",-33.29501,-66.33563
6942538.0,"-36.61122,-56.69327",-36.61122,-56.69327
3837980.0,"-40.73193,-64.94769",-40.73193,-64.94769
3837213.0,"-31.5375,-68.53639",-31.5375,-68.53639
3435894.0,"-34.82584,-58.39502",-34.82584,-58.39502
3433762.0,"-34.88852,-58.3848",-34.88852,-58.3848
3833365.0,"-54.62912,-67.8962",-54.62912,-67.8962
3427408.0,"-34.67907,-58.47263",-34.67907,-58.47263
3862761.0,"-30.86088,-64.52515",-30.86088,-64.52515
3430102.0,"-34.65753,-58.76152",-34.65753,-58.76152
3855302.0,"-32.91568,-60.80995",-32.91568,-60.80995
3866163.0,"-31.65292,-64.42826",-31.65292,-64.42826
3839406.0,"-34.03022,-60.50449",-34.03022,-60.50449
3843435.0,"-38.43982,-62.24362",-38.43982,-62.24362
3430291.0,"-34.60923,-58.40808",-34.60923,-58.40808
3838902.0,"-31.16486,-64.32241",-31.16486,-64.32241
3436230.0,"-29.11761,-59.65834",-29.11761,-59.65834
3435809.0,"-34.16667,-58.91667",-34.16667,-58.91667
3435379.0,"-34.87459,-58.05774",-34.87459,-58.05774
3436152.0,"-34.74572,-58.39192",-34.74572,-58.39192
3838865.0,"-32.52773,-64.58703",-32.52773,-64.58703
3861869.0,"-33,-68.86667",-33.0,-68.86667
3430705.0,"-34.66667,-59.41667",-34.66667,-59.41667
3835759.0,"-34.76257,-60.3241",-34.76257,-60.3241
3429576.0,"-34.58333,-58.38333",-34.58333,-58.38333
3427442.0,"-34.85228,-58.08285",-34.85228,-58.08285
3435359.0,"-34.56058,-58.47477",-34.56058,-58.47477
3429777.0,"-25.59912,-54.57355",-25.59912,-54.57355
3427383.0,"-34.62077,-58.5224",-34.62077,-58.5224
3436176.0,"-37.75,-58.25",-37.75,-58.25
3430087.0,"-34.59542,-58.47156",-34.59542,-58.47156
3435974.0,"-34.81927,-58.23443",-34.81927,-58.23443
3834665.0,"-32.24309,-63.9807",-32.24309,-63.9807
3840631.0,"-33.22377,-66.22509",-33.22377,-66.22509
3433787.0,"-34.45256,-58.64312",-34.45256,-58.64312
3427832.0,"-37.33333,-59.25",-37.33333,-59.25
3429604.0,"-34.79591,-58.1977",-34.79591,-58.1977
3840092.0,"-42.7692,-65.03851",-42.7692,-65.03851
3834450.0,"-54.5,-67",-54.5,-67.0
3433964.0,"-34.43704,-58.98743",-34.43704,-58.98743
3427208.0,"-34.37014,-58.87109",-34.37014,-58.87109
3832815.0,"-31.29458,-64.29538",-31.29458,-64.29538
3849574.0,"-37,-66",-37.0,-66.0
3430657.0,"-26.81427,-54.34387",-26.81427,-54.34387
3435506.0,"-34.58701,-58.4525",-34.58701,-58.4525
3428056.0,"-35.08333,-58.5",-35.08333,-58.5
3427407.0,"-34.63814,-58.50273",-34.63814,-58.50273
3848352.0,"-32.5,-69.5",-32.5,-69.5
3853705.0,"-32.63333,-61.33333",-32.63333,-61.33333
3853350.0,"-39.95043,-71.06936",-39.95043,-71.06936
3839479.0,"-31.25033,-61.4867",-31.25033,-61.4867
3840885.0,"-38.96667,-68.23333",-38.96667,-68.23333
3431259.0,"-34.85949,-58.38759",-34.85949,-58.38759
3832734.0,"-31.97828,-64.55627",-31.97828,-64.55627
3843007.0,"-31.79765,-65.00312",-31.79765,-65.00312
3436521.0,"-34.98515,-58.08922",-34.98515,-58.08922
3427212.0,"-34,-59.16667",-34.0,-59.16667
3436030.0,"-26.2552,-53.64581",-26.2552,-53.64581
3429247.0,"-34.24236,-59.46899",-34.24236,-59.46899
