geonames_id,lat-lon,lat,lon
3850312.0,"-32.32205,-62.88447",-32.32205,-62.88447
3433321.0,"-34.788,-58.37489",-34.788,-58.37489
3845393.0,"-33.03547,-68.87782",-33.03547,-68.87782
3427714.0,"-34.88497,-57.9667",-34.88497,-57.9667
3430861.0,"-36.57531,-56.68883",-36.57531,-56.68883
3856022.0,"-31.4488,-60.93173",-31.4488,-60.93173
3427451.0,"-34.60064,-58.51231",-34.60064,-58.51231
3436004.0,"-34.63413,-58.36298",-34.63413,-58.36298
3838609.0,"-35.84786,-63.29276",-35.84786,-63.29276
3427504.0,"-34.52353,-58.47439",-34.52353,-58.47439
3432310.0,"-34.49842,-58.48804",-34.49842,-58.48804
3431259.0,"-34.85949,-58.38759",-34.85949,-58.38759
3435894.0,"-34.82584,-58.39502",-34.82584,-58.39502
3428075.0,"-34.60379,-58.5461",-34.60379,-58.5461
3430105.0,"-27.31676,-58.57197",-27.31676,-58.57197
3433844.0,"-34.41826,-58.73932",-34.41826,-58.73932
3429153.0,"-34.62212,-58.39766",-34.62212,-58.39766
3833874.0,"-36,-62.66667",-36.0,-62.66667
3431309.0,"-35.25,-59.16667",-35.25,-59.16667
3860163.0,"-37.5,-61.83333",-37.5,-61.83333
3435710.0,"-35.08333,-58.75",-35.08333,-58.75
3833883.0,"-43.24895,-65.30505",-43.24895,-65.30505
3427528.0,"-34.63144,-58.49261",-34.63144,-58.49261
3839479.0,"-31.25033,-61.4867",-31.25033,-61.4867
3839482.0,"-45.92462,-67.55424",-45.92462,-67.55424
3427510.0,"-34.62749,-58.51504",-34.62749,-58.51504
3427455.0,"-34.60057,-58.48871",-34.60057,-58.48871
3430146.0,"-31.66667,-60",-31.66667,-60.0
3430596.0,"-34.61667,-58.5",-34.61667,-58.5
3435379.0,"-34.87459,-58.05774",-34.87459,-58.05774
3429576.0,"-34.58333,-58.38333",-34.58333,-58.38333
3430442.0,"-38.25,-59.25",-38.25,-59.25
3843843.0,"-38.9825,-61.29472",-38.9825,-61.29472
3430114.0,"-34.6382,-58.40139",-34.6382,-58.40139
3852288.0,"-40.25,-71.2",-40.25,-71.2
6693229.0,"-34.60502,-58.37607",-34.60502,-58.37607
3427478.0,"-34.52975,-58.5476",-34.52975,-58.5476
6693230.0,"-34.61082,-58.481",-34.61082,-58.481
3433782.0,"-38,-57.75",-38.0,-57.75
3436309.0,"-27.91667,-55.75",-27.91667,-55.75
3429604.0,"-34.79591,-58.1977",-34.79591,-58.1977
3834652.0,"-31.35601,-64.59202",-31.35601,-64.59202
6942842.0,"-31.28182,-61.41092",-31.28182,-61.41092
3427411.0,"-34.5835,-58.56727",-34.5835,-58.56727
3434003.0,"-34.81917,-58.46583",-34.81917,-58.46583
3832260.0,"-26.81667,-65.31667",-26.81667,-65.31667
3860255.0,"-32,-64",-32.0,-64.0
3430544.0,"-34.65139,-58.62194",-34.65139,-58.62194
3429244.0,"-34.66692,-58.70097",-34.66692,-58.70097
3430513.0,"-34.55622,-58.70739",-34.55622,-58.70739
3835994.0,"-36.61667,-64.28333",-36.61667,-64.28333
3837675.0,"-31.42797,-62.08266",-31.42797,-62.08266
3833857.0,"-38.5,-60.25",-38.5,-60.25
3429577.0,"-27.46056,-58.98389",-27.46056,-58.98389
3832734.0,"-31.97828,-64.55627",-31.97828,-64.55627
3832749.0,"-28.56667,-64.55",-28.56667,-64.55
3435719.0,"-34.87835,-58.51054",-34.87835,-58.51054
3429582.0,"-34.72492,-58.38255",-34.72492,-58.38255
3431270.0,"-34.75,-58.41667",-34.75,-58.41667
3427958.0,"-37.95269,-57.77161",-37.95269,-57.77161
3430272.0,"-37.12522,-56.88352",-37.12522,-56.88352
3864887.0,"-38.8568,-60.07333",-38.8568,-60.07333
3854895.0,"-32.85683,-60.71754",-32.85683,-60.71754
3855302.0,"-32.91568,-60.80995",-32.91568,-60.80995
3832932.0,"-32.66667,-60.33333",-32.66667,-60.33333
3433975.0,"-34.84787,-58.52869",-34.84787,-58.52869
3433908.0,"-34.53258,-58.49078",-34.53258,-58.49078
3428373.0,"-37.83333,-57.5",-37.83333,-57.5
3429308.0,"-34.5,-59.5",-34.5,-59.5
3862325.0,"-31.16667,-61.66667",-31.16667,-61.66667
3433800.0,"-37.25,-57.25",-37.25,-57.25
3851072.0,"-31.00919,-64.26869",-31.00919,-64.26869
3429053.0,"-34.78333,-58.31667",-34.78333,-58.31667
3428050.0,"-34.68324,-58.35117",-34.68324,-58.35117
3427406.0,"-34.65946,-58.58332",-34.65946,-58.58332
3436227.0,"-34.66667,-58.33333",-34.66667,-58.33333
3427326.0,"-34.69467,-58.31287",-34.69467,-58.31287
3427447.0,"-34.68953,-58.31963",-34.68953,-58.31963
3430696.0,"-34.66583,-58.72828",-34.66583,-58.72828
3427655.0,"-34.59987,-58.56606",-34.59987,-58.56606
3836873.0,"-26.82414,-65.2226",-26.82414,-65.2226
3834814.0,"-26.85275,-65.70983",-26.85275,-65.70983
3430339.0,"-27.55,-55.08333",-27.55,-55.08333
3430786.0,"-34.75,-58.58333",-34.75,-58.58333
3430866.0,"-36.72427,-56.67709",-36.72427,-56.67709
3430862.0,"-38.34288,-57.9908",-38.34288,-57.9908
3430291.0,"-34.60923,-58.40808",-34.60923,-58.40808
3836668.0,"-35,-68.83333",-35.0,-68.83333
3861056.0,"-38.93392,-67.99032",-38.93392,-67.99032
3838231.0,"-24.75806,-65.43457",-24.75806,-65.43457
3435643.0,"-34.33333,-59.83333",-34.33333,-59.83333
3847770.0,"-32.81642,-64.75209",-32.81642,-64.75209
3845710.0,"-30.51963,-64.25328",-30.51963,-64.25328
3837989.0,"-31.47949,-64.53042",-31.47949,-64.53042
3835943.0,"-32.06905,-64.53631",-32.06905,-64.53631
3428123.0,"-36.54131,-56.70105",-36.54131,-56.70105
3832711.0,"-40.76173,-71.64631",-40.76173,-71.64631
3433522.0,"-34.5904,-58.62904",-34.5904,-58.62904
3844424.0,"-31.26738,-64.30087",-31.26738,-64.30087
3838902.0,"-31.16486,-64.32241",-31.16486,-64.32241
3832509.0,"-33.01667,-68.88333",-33.01667,-68.88333
3429692.0,"-35.27769,-57.24188",-35.27769,-57.24188
3430116.0,"-34.63413,-58.44322",-34.63413,-58.44322
3866959.0,"-33.17538,-64.99331",-33.17538,-64.99331
3851331.0,"-31.08841,-64.48987",-31.08841,-64.48987
3432134.0,"-34.66667,-58.41667",-34.66667,-58.41667
3429449.0,"-35.44512,-59.41064",-35.44512,-59.41064
3837152.0,"-31,-69",-31.0,-69.0
3832631.0,"-32.1879,-64.48027",-32.1879,-64.48027
3834251.0,"-31.55574,-64.00947",-31.55574,-64.00947
3854963.0,"-32.93333,-68.86667",-32.93333,-68.86667
3432308.0,"-36.66667,-56.66667",-36.66667,-56.66667
3430867.0,"-34.83333,-58.83333",-34.83333,-58.83333
6942539.0,"-36.63764,-56.68705",-36.63764,-56.68705
3859965.0,"-31.24508,-64.46563",-31.24508,-64.46563
3832769.0,"-32.17667,-64.45543",-32.17667,-64.45543
3852374.0,"-31.34377,-64.33529",-31.34377,-64.33529
3844419.0,"-34.5,-68.5",-34.5,-68.5
3833358.0,"-32.59188,-69.3448",-32.59188,-69.3448
3845244.0,"-33,-68.58333",-33.0,-68.58333
3838294.0,"-31.30262,-64.307",-31.30262,-64.307
3851798.0,"-30.98201,-64.49139",-30.98201,-64.49139
3848352.0,"-32.5,-69.5",-32.5,-69.5
3836982.0,"-32.8373,-68.24922",-32.8373,-68.24922
3860705.0,"-31.23639,-64.06858",-31.23639,-64.06858
3433881.0,"-34.63311,-58.85758",-34.63311,-58.85758
3435024.0,"-34.70189,-58.29268",-34.70189,-58.29268
3433770.0,"-34.68713,-58.3868",-34.68713,-58.3868
3833675.0,"-43.0858,-71.46386",-43.0858,-71.46386
3435186.0,"-28.9869,-58.98777",-28.9869,-58.98777
3430668.0,"-38.27161,-57.8389",-38.27161,-57.8389
3843007.0,"-31.79765,-65.00312",-31.79765,-65.00312
3436124.0,"-27.48132,-58.93925",-27.48132,-58.93925
3431266.0,"-35.27369,-58.40378",-35.27369,-58.40378
3429933.0,"-34.78401,-58.16105",-34.78401,-58.16105
3838638.0,"-32.89846,-60.90681",-32.89846,-60.90681
3845180.0,"-36.25,-69.25",-36.25,-69.25
3427581.0,"-35.12389,-58.8921",-35.12389,-58.8921
6942538.0,"-36.61122,-56.69327",-36.61122,-56.69327
