popularity,id,name,album,duration_ms,album_release_date,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artista_id,artista_generos,artista_followers,artista_name,time_signature
64,6rg1MBZqggsQ5olFGTw0rr,Spaghetti del Rock,"Narigón del Siglo, Yo Te Dejo Perfumado en la Esquina para Siempre",212880,2000-02-14,False,0.626,0.389,4,-11.609,1,0.0254,0.677,1.12e-05,0.117,0.656,97.708,6ZIgPKHzpcswB8zh7sRIhx,"argentine rock,latin alternative,latin rock,rock en espanol,rock nacional,ska argentino",568226,Divididos,4
58,6KzeUBu1BE8q24CblG6oku,Tramposa Y Mentirosa,Un Homenaje Al Cielo,212400,2000-05-08,False,0.562,0.756,11,-4.541,0,0.0487,0.217,0.0,0.15,0.841,87.771,2Mu8h5sFkOziL0Rfn7FXIA,"argentine rock,cumbia santafesina,cumbia villera",515245,Leo Mattioli,4
59,0NELwHhQu4EVcmGmu8D7vV,Toco Y Me Voy,Hijos Del Culo,249933,2000-01-01,False,0.641,0.676,5,-5.627,0,0.0351,0.326,0.0,0.101,0.461,89.991,6MxyNXnnmwQwdW2PD0gXYO,"argentine rock,latin alternative,latin rock,rock en espanol,rock nacional,ska argentino",483671,Bersuit Vergarabat,4
